fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,color
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,r
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,w
5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,w
5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,r
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7,w
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7,r
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,w
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,r
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,w
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,r
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,r
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,w
5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,w
5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,r
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,w
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,r
5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,6,r
5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,6,w
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5,r
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5,w
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4,w
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4,r
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,w
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,r
6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5,w
6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5,r
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7,w
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7,r
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,w
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,r
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6,w
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6,r
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6,w
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6,r
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,w
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,r
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,w
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,r
6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,w
6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,r
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,r
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,w
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,r
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,w
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4,r
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4,w
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4,r
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4,w
6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,w
6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,r
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,w
6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,r
6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6,w
6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6,r
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6,w
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6,r
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,w
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,r
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6,r
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6,w
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,w
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,r
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,r
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,w
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,w
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,w
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,r
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,r
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,r
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,w
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,w
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,r
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,r
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,w
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,r
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,w
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6,r
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6,w
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6,w
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6,r
7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,6,r
7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,6,w
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,r
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,w
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,w
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,r
7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6,w
7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6,r
7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6,w
7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6,r
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6,w
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6,r
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,w
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,r
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,w
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,r
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,w
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,r
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7,r
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7,w
7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,r
7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,w
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,r
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,r
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,w
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,w
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7,w
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7,r
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,w
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,w
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,r
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,w
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,r
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,r
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,w
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,r
7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7,w
7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7,r
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,w
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,r
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,w
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,r
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5,w
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5,r
7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6,w
7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6,r
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,w
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,r
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7,w
