"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,5
6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,5
8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5
8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6
7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7
8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,6
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
9.2,0.56,0.18,1.6,0.078,10,21,0.99576,3.15,0.49,9.9,5
10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,6
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6
7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,5
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6
7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5
7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6
8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,6
7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5
7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7
11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,5
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5
6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6
7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,6
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
