"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,6
7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5
5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7
5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6
8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6
7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5
7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4
9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,6
10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,6
8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,6
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,5
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5
8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.56666666666667,6
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6
11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,6
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6
7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5
7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5
8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,6
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
